Acceleration
Time (Seconds),J1 (Degrees/s^2),J2 (Degrees/s^2),J3 (Degrees/s^2),J4 (Degrees/s^2),J5 (Degrees/s^2),J6 (Degrees/s^2)
0.000000,Null,Null,Null,Null,Null,Null
0.025000,-288.947052,-484.765137,387.863617,-6971.978516,-1.609497,6971.964844
0.050000,288.947052,484.765137,-387.863617,6971.978516,1.609497,-6971.964844
0.075000,2.842383,-19.999989,19.999989,20.000158,19.999998,-20.000158
0.100000,0.108856,-40.000023,40.000023,39.296131,40.000000,-39.296131
0.125000,0.000021,-39.999981,39.999981,13.201390,40.000011,-13.201390
0.150000,-0.000021,-40.000053,40.000011,0.000683,39.999985,0.000000
0.175000,0.000021,-39.999928,40.000004,-0.000683,39.999977,-0.000683
0.200000,0.000000,-39.999992,39.999958,0.000683,40.000027,0.000683
0.225000,-0.000021,-40.000053,40.000053,-0.000683,40.000019,0.000000
0.250000,0.000021,-39.999992,39.999889,0.000000,39.999992,0.000000
0.275000,-0.000021,-39.999969,40.000072,0.000683,39.999866,0.000000
0.300000,0.000021,-39.999969,40.000141,-0.000683,40.000240,0.000000
0.325000,-0.000021,-39.999969,39.999798,0.000000,39.999798,0.000000
0.350000,0.000021,-40.000015,40.000187,0.000683,40.000187,-0.000683
0.375000,-0.000021,-40.000309,39.999798,-0.000683,39.999798,0.000683
0.400000,0.000021,-39.999626,39.999969,0.000683,39.999969,0.000000
0.425000,-0.000021,-26.358719,40.000309,-0.000683,40.000309,0.000000
0.450000,0.000021,-0.606521,39.999626,0.000000,39.999626,0.000000
0.475000,0.000000,0.000000,40.000359,0.000683,40.000359,0.000000
0.500000,-0.000021,0.000000,39.999969,-0.000683,39.999969,-0.000683
0.525000,0.000021,0.000000,39.999676,0.000342,39.999676,0.000683
0.550000,-0.000021,0.000000,40.000359,0.000000,40.000359,0.000000
0.575000,0.000021,0.000000,39.999580,-0.000342,39.999580,0.000000
0.600000,-0.000021,0.000683,40.000359,0.000342,40.000359,-0.000342
0.625000,0.000021,-0.000683,40.000263,0.000000,40.000263,0.000342
0.650000,-0.000021,0.000000,39.999676,0.000000,39.998993,0.000000
0.675000,0.000021,0.000000,39.999676,-0.000342,40.001724,0.000000
0.700000,0.000000,0.000000,40.000263,0.000342,39.998898,-0.000342
0.725000,-0.000021,0.000683,40.000359,0.000000,39.998993,0.000342
0.750000,0.000021,-0.001366,39.998898,0.000000,40.001629,0.000000
0.775000,-0.000021,0.001366,40.001724,-0.000342,39.998993,-0.000342
0.800000,0.000021,-0.001366,39.998993,0.000342,40.000359,0.000342
0.825000,-0.000021,0.001366,40.000263,0.000000,40.000263,0.000000
0.850000,0.000021,-0.001366,39.998993,0.000000,40.000359,-0.000342
0.875000,-0.000021,0.001366,40.001629,-0.000342,39.998898,0.000342
0.900000,0.000021,-0.001366,39.998993,0.000342,40.000359,0.000000
0.925000,0.000000,0.001366,39.998993,0.000000,40.001724,-0.000342
0.950000,-0.000021,-0.001366,40.002995,0.000000,39.997532,0.000342
0.975000,0.000021,0.001366,39.997627,-0.000342,40.000359,0.000000
1.000000,-0.000021,0.000000,40.000263,0.000342,40.000263,-0.000342
1.025000,0.000011,-0.001366,40.000359,0.000000,40.000359,0.000342
1.050000,0.000011,0.001366,40.000359,0.000000,40.000359,0.000000
1.075000,-0.000011,-0.001366,40.000359,-0.000342,40.000359,-0.000342
1.100000,0.000000,0.001366,39.997433,0.000342,40.000168,0.000342
1.125000,0.000000,-0.001366,40.003090,0.000000,39.997627,0.000000
