Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,-0.180592,-0.302978,0.242415,-4.357487,-0.001006,4.357478
0.050000,-0.180592,-0.302978,0.242415,-4.357487,-0.001006,4.357478
0.075000,-0.178815,-0.315478,0.254915,-4.344986,0.011494,4.344978
0.100000,-0.176971,-0.352978,0.292415,-4.307926,0.048994,4.307918
0.125000,-0.175126,-0.415478,0.354915,-4.262615,0.111494,4.262607
0.150000,-0.173282,-0.502978,0.442415,-4.217304,0.198994,4.217296
0.175000,-0.171437,-0.615478,0.554915,-4.171993,0.311494,4.171984
0.200000,-0.169593,-0.752978,0.692415,-4.126681,0.448994,4.126673
0.225000,-0.167748,-0.915478,0.854915,-4.081370,0.611494,4.081362
0.250000,-0.165904,-1.102978,1.042415,-4.036059,0.798994,4.036051
0.275000,-0.164059,-1.315478,1.254915,-3.990748,1.011494,3.990740
0.300000,-0.162215,-1.552978,1.492415,-3.945437,1.248994,3.945429
0.325000,-0.160370,-1.815478,1.754915,-3.900126,1.511494,3.900118
0.350000,-0.158526,-2.102978,2.042415,-3.854814,1.798994,3.854806
0.375000,-0.156681,-2.415478,2.354915,-3.809503,2.111494,3.809495
0.400000,-0.154837,-2.752978,2.692415,-3.764192,2.448994,3.764184
0.425000,-0.152992,-3.106952,3.054915,-3.718880,2.811494,3.718873
0.450000,-0.151147,-3.461306,3.442415,-3.673569,3.198994,3.673562
0.475000,-0.149303,-3.815659,3.854915,-3.628258,3.611494,3.628251
0.500000,-0.147458,-4.170012,4.292415,-3.582947,4.048994,3.582940
0.525000,-0.145614,-4.524365,4.754915,-3.537636,4.511494,3.537629
0.550000,-0.143769,-4.878718,5.242415,-3.492324,4.998994,3.492318
0.575000,-0.141925,-5.233072,5.754915,-3.447013,5.511494,3.447006
0.600000,-0.140080,-5.587424,6.292415,-3.401702,6.048994,3.401695
0.625000,-0.138236,-5.941778,6.854915,-3.356391,6.611494,3.356384
0.650000,-0.136391,-6.296131,7.442415,-3.311080,7.198994,3.311073
0.675000,-0.134547,-6.650484,8.054914,-3.265769,7.811494,3.265762
0.700000,-0.132702,-7.004837,8.692414,-3.220457,8.448995,3.220451
0.725000,-0.130858,-7.359190,9.354915,-3.175146,9.111494,3.175140
0.750000,-0.129013,-7.713543,10.042415,-3.129835,9.798994,3.129829
0.775000,-0.127169,-8.067897,10.754915,-3.084524,10.511494,3.084517
0.800000,-0.125324,-8.422250,11.492415,-3.039212,11.248994,3.039207
0.825000,-0.123479,-8.776603,12.254915,-2.993901,12.011494,2.993896
0.850000,-0.121635,-9.130957,13.042415,-2.948590,12.798994,2.948584
0.875000,-0.119790,-9.485310,13.854915,-2.903279,13.611494,2.903273
0.900000,-0.117946,-9.839663,14.692415,-2.857968,14.448994,2.857962
0.925000,-0.116101,-10.194016,15.554914,-2.812656,15.311495,2.812651
0.950000,-0.114257,-10.548369,16.442415,-2.767345,16.198994,2.767340
0.975000,-0.112412,-10.902722,17.354916,-2.722034,17.111494,2.722029
1.000000,-0.110568,-11.257074,18.292416,-2.676723,18.048994,2.676718
1.025000,-0.108723,-11.611428,19.254915,-2.631412,19.011494,2.631406
1.050000,-0.106879,-11.965781,20.242414,-2.586100,19.998995,2.586095
1.075000,-0.105034,-12.320135,21.254915,-2.540789,21.011494,2.540784
1.100000,-0.103190,-12.674488,22.292414,-2.495478,22.048994,2.495473
1.125000,-0.101345,-13.028841,23.354916,-2.450167,23.111494,2.450162
1.150000,-0.099501,-13.383194,24.442415,-2.404855,24.198996,2.404851
1.175000,-0.097656,-13.737548,25.554916,-2.359544,25.311495,2.359540
1.200000,-0.095811,-14.091901,26.692204,-2.314233,26.448994,2.314229
1.225000,-0.093967,-14.446253,27.838947,-2.268922,27.611494,2.268917
1.250000,-0.092122,-14.800607,28.985695,-2.223611,28.798994,2.223606
1.275000,-0.090278,-15.154961,30.132439,-2.178299,30.011494,2.178295
1.300000,-0.088433,-15.509313,31.279186,-2.132988,31.223503,2.132984
1.325000,-0.086589,-15.863667,32.425930,-2.087677,32.410511,2.087673
1.350000,-0.084744,-16.218019,33.572674,-2.042366,33.572521,2.042362
1.375000,-0.082900,-16.572372,34.709534,-1.997055,34.709534,1.997051
1.400000,-0.081055,-16.926725,35.821541,-1.951743,35.821541,1.951740
1.425000,-0.079211,-17.281078,36.908554,-1.906432,36.908554,1.906429
1.450000,-0.077366,-17.635433,37.970566,-1.861121,37.970566,1.861117
1.475000,-0.075522,-17.989784,39.007572,-1.815810,39.007572,1.815806
1.500000,-0.073677,-18.344137,40.019585,-1.770499,40.019585,1.770495
1.525000,-0.071833,-18.698492,41.006596,-1.725187,41.006596,1.725184
1.550000,-0.069988,-19.052845,41.968605,-1.679876,41.968605,1.679873
1.575000,-0.068144,-19.407198,42.905617,-1.634565,42.905617,1.634562
1.600000,-0.066299,-19.761551,43.817623,-1.589254,43.817623,1.589251
1.625000,-0.064454,-20.115904,44.704636,-1.543943,44.704636,1.543939
1.650000,-0.062610,-20.470259,45.566647,-1.498631,45.566647,1.498628
1.675000,-0.060765,-20.824610,46.403656,-1.453320,46.403656,1.453317
1.700000,-0.058921,-21.178965,47.215668,-1.408009,47.215668,1.408006
1.725000,-0.057076,-21.533318,48.002674,-1.362698,48.002674,1.362695
1.750000,-0.055232,-21.887669,48.764687,-1.317387,48.764687,1.317384
1.775000,-0.053387,-22.242023,49.501698,-1.272075,49.501698,1.272073
1.800000,-0.051543,-22.596376,50.213707,-1.226764,50.213707,1.226762
1.825000,-0.049698,-22.950729,50.900719,-1.181453,50.900719,1.181451
1.850000,-0.047854,-23.305082,51.562729,-1.136142,51.562729,1.136140
1.875000,-0.046009,-23.659435,52.199738,-1.090831,52.199738,1.090828
1.900000,-0.044165,-24.013790,52.811752,-1.045519,52.811752,1.045517
1.925000,-0.042320,-24.368143,53.398762,-1.000208,53.398762,1.000206
1.950000,-0.040476,-24.722494,53.960770,-0.954897,53.960770,0.954895
1.975000,-0.038631,-25.076849,54.497780,-0.909586,54.497780,0.909584
2.000000,-0.036786,-25.431202,55.009792,-0.864274,55.009792,0.864273
2.025000,-0.034942,-25.785555,55.496799,-0.818963,55.496799,0.818962
2.050000,-0.033097,-26.139908,55.958813,-0.773652,55.958813,0.773651
2.075000,-0.031253,-26.494261,56.395821,-0.728341,56.395821,0.728339
2.100000,-0.029408,-26.848616,56.807831,-0.683030,56.807831,0.683028
2.125000,-0.027564,-27.202967,57.194839,-0.637718,57.194839,0.637717
2.150000,-0.025719,-27.556850,57.556850,-0.592407,57.556850,0.592406
2.175000,-0.023875,-27.893862,57.893860,-0.547096,57.893860,0.547095
2.200000,-0.022030,-28.205873,58.205875,-0.501785,58.205875,0.501784
2.225000,-0.020186,-28.492882,58.492882,-0.456474,58.492882,0.456473
2.250000,-0.018341,-28.754892,58.754894,-0.411162,58.754894,0.411162
2.275000,-0.016497,-28.991903,58.991901,-0.365851,58.991901,0.365851
2.300000,-0.014652,-29.203913,59.203915,-0.320540,59.203915,0.320539
2.325000,-0.012808,-29.390923,59.390926,-0.275229,59.390926,0.275228
2.350000,-0.010963,-29.552935,59.552933,-0.229918,59.552933,0.229917
2.375000,-0.009118,-29.689945,59.689945,-0.184606,59.689945,0.184606
2.400000,-0.007274,-29.801952,59.801952,-0.139295,59.801952,0.139295
2.425000,-0.005429,-29.888966,59.888966,-0.093984,59.888966,0.093984
2.450000,-0.003585,-29.950974,59.950974,-0.048673,59.950974,0.048673
2.475000,-0.001740,-29.987988,59.987988,-0.012015,59.987988,0.012015
2.500000,-0.121321,-29.953154,59.975094,0.616598,60.162193,-0.428597
2.525000,-0.161713,-29.937246,59.966816,0.822950,60.217579,-0.574636
2.550000,-0.160834,-29.937283,59.966877,0.822955,60.217545,-0.573760
2.575000,-0.159334,-29.937286,59.966877,0.822962,60.217522,-0.572264
2.600000,-0.157234,-29.937290,59.966885,0.822972,60.217495,-0.570169
2.625000,-0.154634,-29.936937,59.966698,0.823483,60.218719,-0.636339
2.650000,-0.151310,-29.936819,59.966621,0.823378,60.219177,-0.672526
2.675000,-0.147372,-29.936708,59.966568,0.823200,60.219566,-0.708063
2.700000,-0.142816,-29.936573,59.966492,0.822940,60.220139,-0.759329
2.725000,-0.137677,-29.936478,59.966446,0.822765,60.220516,-0.793667
2.750000,-0.131909,-29.936317,59.966358,0.822446,60.221226,-0.856267
2.775000,-0.125553,-29.936186,59.966290,0.822193,60.221794,-0.905736
2.800000,-0.118585,-29.936050,59.966213,0.821878,60.222488,-0.967137
2.825000,-0.111005,-29.935883,59.966125,0.821511,60.223293,-1.038503
2.850000,-0.102817,-29.935705,59.966030,0.821097,60.224209,-1.118575
2.875000,-0.094020,-29.935534,59.965935,0.820642,60.225227,-1.206462
2.900000,-0.084631,-29.935394,59.965866,0.820231,60.226143,-1.285336
2.925000,-0.074626,-29.935251,59.965790,0.819737,60.227249,-1.379760
2.950000,-0.064014,-29.935108,59.965714,0.819206,60.228432,-1.480786
2.975000,-0.052794,-29.934992,59.965645,0.818640,60.229713,-1.587975
3.000000,-0.040973,-29.934896,59.965584,0.818074,60.230991,-1.694562
3.025000,-0.028540,-29.934801,59.965538,0.817441,60.232422,-1.813031
3.050000,-0.015507,-29.934763,59.965515,0.816808,60.233860,-1.930901
3.075000,-0.001862,-29.934729,59.965496,0.816113,60.235439,-2.059557
3.100000,0.012383,-29.934763,59.965511,0.815418,60.237038,-2.187613
3.125000,0.027238,-29.934807,59.965538,0.814663,60.238766,-2.325611
3.150000,0.042703,-29.934896,59.965584,0.813852,60.240616,-2.472865
3.175000,0.058774,-29.935032,59.965668,0.813013,60.242550,-2.624230
3.200000,0.075447,-29.935242,59.965775,0.812146,60.244556,-2.779576
3.225000,0.092725,-29.935518,59.965919,0.811251,60.246639,-2.938783
3.250000,0.110607,-29.935848,59.966110,0.810328,60.248787,-3.101743
3.275000,0.129097,-29.936255,59.966328,0.809354,60.251072,-3.272505
3.300000,0.148192,-29.936737,59.966583,0.808329,60.253483,-3.450714
3.325000,0.167895,-29.937296,59.966888,0.807255,60.256012,-3.636051
3.350000,0.188200,-29.937965,59.967243,0.806153,60.258629,-3.824544
3.375000,0.209106,-29.938725,59.967663,0.805024,60.261307,-4.016128
3.400000,0.230616,-29.939594,59.968124,0.803847,60.264133,-4.214308
3.425000,0.252739,-29.940556,59.968639,0.802580,60.267143,-4.425611
3.450000,0.275454,-29.941668,59.969238,0.801326,60.270184,-4.632959
3.475000,0.298776,-29.942886,59.969910,0.800006,60.273369,-4.849629
3.500000,0.322700,-29.944246,59.970634,0.798637,60.276688,-5.072092
3.525000,0.347223,-29.945745,59.971447,0.797220,60.280136,-5.300186
