Velocity
Time (Seconds),J1 (Degrees/Seconds),J2 (Degrees/Seconds),J3 (Degrees/Seconds),J4 (Degrees/Seconds),J5 (Degrees/Seconds),J6 (Degrees/Seconds)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,-7.223677,-12.119128,9.696590,-174.299469,-0.040237,174.299118
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.075000,0.071060,-0.500000,0.500000,0.500004,0.500000,-0.500004
0.100000,0.073781,-1.500000,1.500000,1.482407,1.500000,-1.482407
0.125000,0.073782,-2.500000,2.500000,1.812442,2.500000,-1.812442
0.150000,0.073781,-3.500001,3.500000,1.812459,3.500000,-1.812442
0.175000,0.073782,-4.500000,4.500000,1.812442,4.500000,-1.812459
0.200000,0.073782,-5.499999,5.499999,1.812459,5.500000,-1.812442
0.225000,0.073781,-6.500001,6.500001,1.812442,6.500001,-1.812442
0.250000,0.073782,-7.500000,7.499998,1.812442,7.500000,-1.812442
0.275000,0.073781,-8.500000,8.500000,1.812459,8.499997,-1.812442
0.300000,0.073782,-9.499999,9.500004,1.812442,9.500004,-1.812442
0.325000,0.073781,-10.499999,10.499999,1.812442,10.499999,-1.812442
0.350000,0.073782,-11.499998,11.500003,1.812459,11.500003,-1.812459
0.375000,0.073781,-12.500006,12.499998,1.812442,12.499998,-1.812442
0.400000,0.073782,-13.499997,13.499997,1.812459,13.499997,-1.812442
0.425000,0.073781,-14.158965,14.500005,1.812442,14.500005,-1.812442
0.450000,0.073782,-14.174129,15.499996,1.812442,15.499996,-1.812442
0.475000,0.073782,-14.174129,16.500004,1.812459,16.500004,-1.812442
0.500000,0.073781,-14.174129,17.500004,1.812442,17.500004,-1.812459
0.525000,0.073782,-14.174129,18.499994,1.812451,18.499994,-1.812442
0.550000,0.073781,-14.174129,19.500002,1.812451,19.500002,-1.812442
0.575000,0.073782,-14.174129,20.499994,1.812442,20.499994,-1.812442
0.600000,0.073781,-14.174111,21.500002,1.812451,21.500002,-1.812451
0.625000,0.073782,-14.174129,22.500010,1.812451,22.500010,-1.812442
0.650000,0.073781,-14.174129,23.500000,1.812451,23.499983,-1.812442
0.675000,0.073782,-14.174129,24.499990,1.812442,24.500025,-1.812442
0.700000,0.073782,-14.174129,25.500000,1.812451,25.500000,-1.812451
0.725000,0.073781,-14.174111,26.500008,1.812451,26.499973,-1.812442
0.750000,0.073782,-14.174146,27.499981,1.812451,27.500015,-1.812442
0.775000,0.073781,-14.174111,28.500023,1.812442,28.499989,-1.812451
0.800000,0.073782,-14.174146,29.499998,1.812451,29.499998,-1.812442
0.825000,0.073781,-14.174111,30.500006,1.812451,30.500006,-1.812442
0.850000,0.073782,-14.174146,31.499979,1.812451,31.500013,-1.812451
0.875000,0.073781,-14.174111,32.500023,1.812442,32.499989,-1.812442
0.900000,0.073782,-14.174146,33.499996,1.812451,33.499996,-1.812442
0.925000,0.073782,-14.174111,34.499969,1.812451,34.500038,-1.812451
0.950000,0.073781,-14.174146,35.500046,1.812451,35.499977,-1.812442
0.975000,0.073782,-14.174111,36.499985,1.812442,36.499985,-1.812442
1.000000,0.073781,-14.174111,37.499992,1.812451,37.499992,-1.812451
1.025000,0.073781,-14.174146,38.500000,1.812451,38.500000,-1.812442
1.050000,0.073782,-14.174111,39.500008,1.812451,39.500008,-1.812442
1.075000,0.073781,-14.174146,40.500015,1.812442,40.500015,-1.812451
1.100000,0.073781,-14.174111,41.499958,1.812451,41.500027,-1.812442
1.125000,0.073781,-14.174146,42.500034,1.812451,42.499966,-1.812442
1.150000,0.073781,-14.174111,43.499973,1.812451,43.500042,-1.812451
1.175000,0.073781,-14.174146,44.500050,1.812442,44.499981,-1.812442
1.200000,0.073781,-14.174111,45.491520,1.812451,45.499989,-1.812442
1.225000,0.073781,-14.174111,45.869774,1.812451,46.499996,-1.812451
1.250000,0.073781,-14.174146,45.869843,1.812442,47.500004,-1.812442
1.275000,0.073782,-14.174146,45.869774,1.812451,48.499943,-1.812442
1.300000,0.073781,-14.174077,45.869911,1.812451,48.480412,-1.812451
1.325000,0.073781,-14.174146,45.869774,1.812451,47.480335,-1.812442
1.350000,0.073781,-14.174146,45.869774,1.812442,46.480392,-1.812442
1.375000,0.073781,-14.174146,45.474308,1.812451,45.480453,-1.812451
1.400000,0.073781,-14.174077,44.480377,1.812451,44.480377,-1.812442
1.425000,0.073781,-14.174146,43.480438,1.812451,43.480438,-1.812442
1.450000,0.073781,-14.174146,42.480499,1.812442,42.480499,-1.812442
1.475000,0.073781,-14.174077,41.480286,1.812451,41.480286,-1.812451
1.500000,0.073781,-14.174146,40.480484,1.812451,40.480484,-1.812442
1.525000,0.073782,-14.174146,39.480408,1.812446,39.480408,-1.812446
1.550000,0.073781,-14.174146,38.480465,1.812451,38.480465,-1.812446
1.575000,0.073781,-14.174077,37.480389,1.812446,37.480389,-1.812442
1.600000,0.073781,-14.174146,36.480312,1.812451,36.480312,-1.812446
1.625000,0.073781,-14.174146,35.480511,1.812446,35.480511,-1.812446
1.650000,0.073781,-14.174146,34.480434,1.812451,34.480434,-1.812442
1.675000,0.073781,-14.174077,33.480358,1.812446,33.480358,-1.812446
1.700000,0.073781,-14.174146,32.480419,1.812451,32.480419,-1.812442
1.725000,0.073781,-14.174146,31.480343,1.812446,31.480343,-1.812446
1.750000,0.073781,-14.174077,30.480402,1.812451,30.480402,-1.812446
1.775000,0.073781,-14.174146,29.480463,1.812446,29.480463,-1.812442
1.800000,0.073781,-14.174146,28.480387,1.812451,28.480387,-1.812446
1.825000,0.073781,-14.174146,27.480448,1.812446,27.480448,-1.812446
1.850000,0.073781,-14.174077,26.480370,1.812451,26.480370,-1.812442
1.875000,0.073781,-14.174146,25.480431,1.812446,25.480431,-1.812446
1.900000,0.073781,-14.174146,24.480492,1.812451,24.480492,-1.812446
1.925000,0.073781,-14.174146,23.480415,1.812446,23.480415,-1.812442
1.950000,0.073781,-14.174077,22.480339,1.812451,22.480339,-1.812446
1.975000,0.073781,-14.174146,21.480398,1.812446,21.480398,-1.812446
2.000000,0.073781,-14.174146,20.480459,1.812451,20.480459,-1.812442
2.025000,0.073781,-14.174077,19.480383,1.812448,19.480383,-1.812446
2.050000,0.073781,-14.174146,18.480444,1.812448,18.480444,-1.812444
2.075000,0.073781,-14.174146,17.480368,1.812448,17.480368,-1.812444
2.100000,0.073781,-14.174146,16.480427,1.812448,16.480427,-1.812446
2.125000,0.073781,-14.174077,15.480350,1.812448,15.480350,-1.812444
2.150000,0.073781,-14.155362,14.480411,1.812448,14.480411,-1.812444
2.175000,0.073781,-13.480403,13.480334,1.812448,13.480334,-1.812444
2.200000,0.073781,-12.480463,12.480668,1.812448,12.480668,-1.812446
2.225000,0.073781,-11.480387,11.480182,1.812448,11.480182,-1.812444
2.250000,0.073781,-10.480379,10.480515,1.812447,10.480515,-1.812445
2.275000,0.073781,-9.480439,9.480303,1.812448,9.480303,-1.812444
2.300000,0.073781,-8.480363,8.480637,1.812448,8.480637,-1.812445
2.325000,0.073781,-7.480423,7.480423,1.812448,7.480423,-1.812444
2.350000,0.073781,-6.480484,6.480210,1.812448,6.480210,-1.812445
2.375000,0.073781,-5.480407,5.480544,1.812448,5.480544,-1.812444
2.400000,0.073781,-4.480331,4.480331,1.812448,4.480331,-1.812445
2.425000,0.073781,-3.480528,3.480391,1.812448,3.480391,-1.812444
2.450000,0.073781,-2.480315,2.480452,1.812448,2.480452,-1.812445
2.475000,0.073781,-1.480512,1.480512,1.466305,1.480512,-1.466305
2.500000,-4.783237,1.393359,-0.515816,25.144526,6.968159,-17.624487
2.525000,-1.615651,0.636300,-0.331128,8.254083,2.215440,-5.841541
2.550000,0.035139,-0.001503,0.002459,0.000177,-0.001366,0.035032
2.575000,0.059991,-0.000137,0.000000,0.000292,-0.000820,0.059839
2.600000,0.084007,-0.000137,0.000273,0.000414,-0.001093,0.083794
2.625000,0.104024,0.014070,-0.007377,0.020422,0.048904,-2.646784
2.650000,0.132937,0.004781,-0.003005,-0.004209,0.018305,-1.447494
